invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date
I138884,upeszhn26j,Female,28,Clothing,5,1500.4,Credit Card,2022-08-05
I317333,nyyoavbmge,Male,21,Shoes,3,1800.51,Debit Card,2021-12-12
I127801,iksbmqrtj0,Male,20,Clothing,1,300.08,Cash,2021-11-09
I173702,zfhc107gzu,Female,66,Shoes,5,3000.85,Credit Card,2021-05-16
I337046,diwrquryyt,Female,53,Books,4,60.6,Cash,2021-10-24
I227836,qwbwikszuo,Female,28,Clothing,5,1500.4,Credit Card,2022-05-24
I121056,de3smmcwmr,Female,49,Cosmetics,1,40.66,Cash,2022-03-13
I293112,6qeokw7ssv,Female,32,Clothing,2,600.16,Credit Card,2021-01-13
I293455,yofcfwaf4t,Male,69,Clothing,3,900.24,Credit Card,2021-11-04
I326945,nzbyhmzumz,Female,60,Clothing,2,600.16,Credit Card,2021-08-22
I306368,7vkvwhlqth,Female,36,Food & Beverage,2,10.46,Cash,2022-12-25
I139207,a1bwb6efas,Female,29,Books,1,15.15,Credit Card,2022-10-28
I640508,ij2kffcntf,Female,67,Toys,4,143.36,Debit Card,2022-07-31
I179802,mf6yqzedfm,Male,25,Clothing,2,600.16,Cash,2022-11-17
I336189,nw6danassz,Female,67,Clothing,2,600.16,Credit Card,2022-06-03
I688768,doktxcgfjp,Male,24,Shoes,5,3000.85,Credit Card,2021-11-07
I294687,vmptovlsm8,Male,65,Books,2,30.3,Debit Card,2021-01-16
I195744,llxba3rowi,Female,42,Food & Beverage,3,15.69,Credit Card,2022-01-05
I993048,gslezjihwh,Female,46,Clothing,2,600.16,Cash,2021-07-26
I992454,gqzsgrmjwy,Male,24,Toys,4,143.36,Cash,2023-03-07
I183746,qtuwmw9biw,Male,23,Clothing,1,300.08,Credit Card,2023-02-15
I412481,2pzqbxlfqf,Female,27,Food & Beverage,1,5.23,Cash,2021-05-01
I823067,beedxdfp73,Male,52,Clothing,2,600.16,Credit Card,2022-06-18
I252275,fbyn42fkxd,Male,44,Technology,5,5250.0,Cash,2021-10-26
I174250,vimhf5xxjh,Female,42,Books,5,75.75,Cash,2022-12-16
I195396,og9torclyi,Male,51,Toys,2,71.68,Debit Card,2021-05-16
I196704,fhaoyyhfua,Female,25,Cosmetics,5,203.3,Credit Card,2022-04-20
I217053,qepkxhwg4d,Male,50,Shoes,4,2400.68,Cash,2022-10-10
I655874,iuu3uzkfxw,Female,65,Shoes,3,1800.51,Cash,2022-08-23
I209744,uvzssnmnss,Male,29,Cosmetics,3,121.98,Credit Card,2021-04-29
I161949,j02seis7u2,Female,66,Toys,3,107.52,Debit Card,2022-07-04
I331891,1is0ww5ctw,Male,23,Clothing,1,300.08,Credit Card,2021-11-21
I768348,gvh9kl1oqk,Female,32,Shoes,3,1800.51,Credit Card,2022-02-23
I109053,kh5hv4apt5,Male,51,Clothing,4,1200.32,Debit Card,2021-07-11
I167211,bxhin3if4m,Female,66,Shoes,4,2400.68,Credit Card,2022-08-30
I339732,lkuzevbn9w,Male,68,Food & Beverage,1,5.23,Credit Card,2023-01-04
I147062,ocqqt39phe,Male,43,Clothing,5,1500.4,Credit Card,2022-06-21
I187519,cj7xzlgvuq,Female,59,Clothing,2,600.16,Credit Card,2022-07-08
I106674,npnlc45ufr,Male,54,Clothing,2,600.16,Cash,2022-02-27
I473411,p0wsnpuqjy,Male,24,Clothing,1,300.08,Cash,2022-12-19
I246550,xoqh0fmvj9,Female,49,Food & Beverage,3,15.69,Cash,2021-09-10
I138674,h32hdvbprp,Male,67,Cosmetics,2,81.32,Credit Card,2022-02-14
I752693,mqxuhgp0if,Female,48,Cosmetics,3,121.98,Cash,2022-04-28
I826174,jutgkilb9d,Female,40,Shoes,4,2400.68,Cash,2022-06-20
I296025,knger19g6c,Female,41,Shoes,3,1800.51,Credit Card,2022-04-21
